Id,Nombre,IdDepartamento,CodigoDane
1,MEDELLÍN,5,05001
2,ABEJORRAL,5,05002
3,ABRIAQUÍ,5,05004
4,ALEJANDRÍA,5,05021
5,AMAGÁ,5,05030
6,AMALFI,5,05031
7,ANDES,5,05034
8,ANGELÓPOLIS,5,05036
9,ANGOSTURA,5,05038
10,ANORÍ,5,05040
11,SANTA FÉ DE ANTIOQUIA,5,05042
12,ANZÁ,5,05044
13,APARTADÓ,5,05045
14,ARBOLETES,5,05051
15,ARGELIA,5,05055
16,ARMENIA,5,05059
17,BARBOSA,5,05079
18,BELMIRA,5,05086
19,BELLO,5,05088
20,BETANIA,5,05091
21,BETULIA,5,05093
22,CIUDAD BOLÍVAR,5,05101
23,BRICEÑO,5,05107
24,BURITICÁ,5,05113
25,CÁCERES,5,05120
26,CAICEDO,5,05125
27,CALDAS,5,05129
28,CAMPAMENTO,5,05134
29,CAÑASGORDAS,5,05138
30,CARACOLÍ,5,05142
31,CARAMANTA,5,05145
32,CAREPA,5,05147
33,EL CARMEN DE VIBORAL,5,05148
34,CAROLINA,5,05150
35,CAUCASIA,5,05154
36,CHIGORODÓ,5,05172
37,CISNEROS,5,05190
38,COCORNÁ,5,05197
39,CONCEPCIÓN,5,05206
40,CONCORDIA,5,05209
41,COPACABANA,5,05212
42,DABEIBA,5,05234
43,DONMATÍAS,5,05237
44,EBÉJICO,5,05240
45,EL BAGRE,5,05250
46,ENTRERRÍOS,5,05264
47,ENVIGADO,5,05266
48,FREDONIA,5,05282
49,FRONTINO,5,05284
50,GIRALDO,5,05306
51,GIRARDOTA,5,05308
52,GÓMEZ PLATA,5,05310
53,GRANADA,5,05313
54,GUADALUPE,5,05315
55,GUARNE,5,05318
56,GUATAPÉ,5,05321
57,HELICONIA,5,05347
58,HISPANIA,5,05353
59,ITAGÜÍ,5,05360
60,ITUANGO,5,05361
61,JARDÍN,5,05364
62,JERICÓ,5,05368
63,LA CEJA,5,05376
64,LA ESTRELLA,5,05380
65,LA PINTADA,5,05390
66,LA UNIÓN,5,05400
67,LIBORINA,5,05411
68,MACEO,5,05425
69,MARINILLA,5,05440
70,MONTEBELLO,5,05467
71,MURINDÓ,5,05475
72,MUTATÁ,5,05480
73,NARIÑO,5,05483
74,NECOCLÍ,5,05490
75,NECHÍ,5,05495
76,OLAYA,5,05501
77,PEÑOL,5,05541
78,PEQUE,5,05543
79,PUEBLORRICO,5,05576
80,PUERTO BERRÍO,5,05579
81,PUERTO NARE,5,05585
82,PUERTO TRIUNFO,5,05591
83,REMEDIOS,5,05604
84,RETIRO,5,05607
85,RIONEGRO,5,05615
86,SABANALARGA,5,05628
87,SABANETA,5,05631
88,SALGAR,5,05642
89,SAN ANDRÉS DE CUERQUÍA,5,05647
90,SAN CARLOS,5,05649
91,SAN FRANCISCO,5,05652
92,SAN JERÓNIMO,5,05656
93,SAN JOSÉ DE LA MONTAÑA,5,05658
94,SAN JUAN DE URABÁ,5,05659
95,SAN LUIS,5,05660
96,SAN PEDRO DE LOS MILAGROS,5,05664
97,SAN PEDRO DE URABÁ,5,05665
98,SAN RAFAEL,5,05667
99,SAN ROQUE,5,05670
100,SAN VICENTE FERRER,5,05674
101,SANTA BÁRBARA,5,05679
102,SANTA ROSA DE OSOS,5,05686
103,SANTO DOMINGO,5,05690
104,EL SANTUARIO,5,05697
105,SEGOVIA,5,05736
106,SONSÓN,5,05756
107,SOPETRÁN,5,05761
108,TÁMESIS,5,05789
109,TARAZÁ,5,05790
110,TARSO,5,05792
111,TITIRIBÍ,5,05809
112,TOLEDO,5,05819
113,TURBO,5,05837
114,URAMITA,5,05842
115,URRAO,5,05847
116,VALDIVIA,5,05854
117,VALPARAÍSO,5,05856
118,VEGACHÍ,5,05858
119,VENECIA,5,05861
120,VIGÍA DEL FUERTE,5,05873
121,YALÍ,5,05885
122,YARUMAL,5,05887
123,YOLOMBÓ,5,05890
124,YONDÓ,5,05893
125,ZARAGOZA,5,05895
126,BARRANQUILLA,8,08001
127,BARANOA,8,08078
128,CAMPO DE LA CRUZ,8,08137
129,CANDELARIA,8,08141
130,GALAPA,8,08296
131,JUAN DE ACOSTA,8,08372
132,LURUACO,8,08421
133,MALAMBO,8,08433
134,MANATÍ,8,08436
135,PALMAR DE VARELA,8,08520
136,PIOJÓ,8,08549
137,POLONUEVO,8,08558
138,PONEDERA,8,08560
139,PUERTO COLOMBIA,8,08573
140,REPELÓN,8,08606
141,SABANAGRANDE,8,08634
142,SABANALARGA,8,08638
143,SANTA LUCÍA,8,08675
144,SANTO TOMÁS,8,08685
145,SOLEDAD,8,08758
146,SUAN,8,08770
147,TUBARÁ,8,08832
148,USIACURÍ,8,08849
149,"BOGOTÁ, D.C.",11,11001
150,CARTAGENA DE INDIAS,13,13001
151,ACHÍ,13,13006
152,ALTOS DEL ROSARIO,13,13030
153,ARENAL,13,13042
154,ARJONA,13,13052
155,ARROYOHONDO,13,13062
156,BARRANCO DE LOBA,13,13074
157,CALAMAR,13,13140
158,CANTAGALLO,13,13160
159,CICUCO,13,13188
160,CÓRDOBA,13,13212
161,CLEMENCIA,13,13222
162,EL CARMEN DE BOLÍVAR,13,13244
163,EL GUAMO,13,13248
164,EL PEÑÓN,13,13268
165,HATILLO DE LOBA,13,13300
166,MAGANGUÉ,13,13430
167,MAHATES,13,13433
168,MARGARITA,13,13440
169,MARÍA LA BAJA,13,13442
170,MONTECRISTO,13,13458
171,MOMPÓS,13,13468
172,MORALES,13,13473
173,NOROSÍ,13,13490
174,PINILLOS,13,13549
175,REGIDOR,13,13580
176,RÍO VIEJO,13,13600
177,SAN CRISTÓBAL,13,13620
178,SAN ESTANISLAO,13,13647
179,SAN FERNANDO,13,13650
180,SAN JACINTO,13,13654
181,SAN JACINTO DEL CAUCA,13,13655
182,SAN JUAN NEPOMUCENO,13,13657
183,SAN MARTÍN DE LOBA,13,13667
184,SAN PABLO,13,13670
185,SANTA CATALINA,13,13673
186,SANTA ROSA,13,13683
187,SANTA ROSA DEL SUR,13,13688
188,SIMITÍ,13,13744
189,SOPLAVIENTO,13,13760
190,TALAIGUA NUEVO,13,13780
191,TIQUISIO,13,13810
192,TURBACO,13,13836
193,TURBANÁ,13,13838
194,VILLANUEVA,13,13873
195,ZAMBRANO,13,13894
196,TUNJA,15,15001
197,ALMEIDA,15,15022
198,AQUITANIA,15,15047
199,ARCABUCO,15,15051
200,BELÉN,15,15087
201,BERBEO,15,15090
202,BETÉITIVA,15,15092
203,BOAVITA,15,15097
204,BOYACÁ,15,15104
205,BRICEÑO,15,15106
206,BUENAVISTA,15,15109
207,BUSBANZÁ,15,15114
208,CALDAS,15,15131
209,CAMPOHERMOSO,15,15135
210,CERINZA,15,15162
211,CHINAVITA,15,15172
212,CHIQUINQUIRÁ,15,15176
213,CHISCAS,15,15180
214,CHITA,15,15183
215,CHITARAQUE,15,15185
